 Date, Time, Reading
 2015-09-12, 07:01:09.346,381000
 2015-09-12, 07:01:39.342,380000
 2015-09-12, 07:02:09.347,379000
 2015-09-12, 07:02:39.343,379000
 2015-09-12, 07:03:09.347,380000
 2015-09-12, 07:03:39.346,376000
 2015-09-12, 07:04:09.342,379000
 2015-09-12, 07:04:39.348,378000
 2015-09-12, 07:05:09.343,378000
 2015-09-12, 07:05:39.349,376000
 2015-09-12, 07:06:09.346,372000
 2015-09-12, 07:06:39.350,377000
 2015-09-12, 07:07:09.346,377000
 2015-09-12, 07:07:39.353,376000
 2015-09-12, 07:08:09.349,378000
 2015-09-12, 07:08:39.353,366000
 2015-09-12, 07:09:09.350,376000
 2015-09-12, 07:09:39.354,377000
 2015-09-12, 07:10:09.355,373000
 2015-09-12, 07:10:39.351,377000
 2015-09-12, 07:11:09.355,375000
 2015-09-12, 07:11:39.354,374000
 2015-09-12, 07:12:09.361,371000
 2015-09-12, 07:12:39.355,368000
 2015-09-12, 07:13:09.362,375000
 2015-09-12, 07:13:39.361,374000
 2015-09-12, 07:14:09.352,373000
 2015-09-12, 07:14:39.358,496000
 2015-09-12, 07:15:09.363,471000
 2015-09-12, 07:15:39.359,465000
 2015-09-12, 07:16:09.356,506000
 2015-09-12, 07:16:39.362,520000
 2015-09-12, 07:17:09.356,519000
 2015-09-12, 07:17:39.365,519000
 2015-09-12, 07:18:09.362,517000
 2015-09-12, 07:18:39.355,516000
 2015-09-12, 07:19:09.362,514000
 2015-09-12, 07:19:39.360,514000
 2015-09-12, 07:20:09.376,515000
 2015-09-12, 07:20:39.361,516000
 2015-09-12, 07:21:09.367,515000
 2015-09-12, 07:21:39.364,514000
 2015-09-12, 07:22:09.368,513000
 2015-09-12, 07:22:39.364,512000
 2015-09-12, 07:23:09.369,514000
 2015-09-12, 07:23:39.365,513000
 2015-09-12, 07:24:09.372,511000
 2015-09-12, 07:24:39.356,425000
 2015-09-12, 07:25:09.373,425000
 2015-09-12, 07:25:39.369,426000
 2015-09-12, 07:26:09.362,424000
 2015-09-12, 07:26:39.366,424000
 2015-09-12, 07:27:09.362,423000
 2015-09-12, 07:27:39.357,423000
 2015-09-12, 07:28:09.363,423000
 2015-09-12, 07:28:39.369,423000
 2015-09-12, 07:29:09.374,416000
 2015-09-12, 07:29:39.368,421000
 2015-09-12, 07:30:09.374,423000
 2015-09-12, 07:30:39.369,423000
 2015-09-12, 07:31:09.375,422000
 2015-09-12, 07:31:39.372,401000
 2015-09-12, 07:32:09.376,423000
 2015-09-12, 07:32:39.372,422000
 2015-09-12, 07:33:09.368,424000
 2015-09-12, 07:33:39.376,367000
 2015-09-12, 07:34:09.380,370000
 2015-09-12, 07:34:39.376,367000
 2015-09-12, 07:35:09.371,367000
 2015-09-12, 07:35:39.377,368000
 2015-09-12, 07:36:09.383,366000
 2015-09-12, 07:36:39.378,368000
 2015-09-12, 07:37:09.384,368000
 2015-09-12, 07:37:39.370,367000
 2015-09-12, 07:38:09.424,368000
 2015-09-12, 07:38:39.371,367000
 2015-09-12, 07:39:09.388,367000
 2015-09-12, 07:39:39.372,472000
 2015-09-12, 07:40:09.378,462000
 2015-09-12, 07:40:39.383,457000
